ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE
18326,NY,New York,Eastchester,Westchester,40.954966,-73.80858
18327,NY,New York,Eastport,Suffolk,40.809947,-72.705388
18328,NY,New York,Eaton,Madison,42.848417,-75.631359
18329,NY,New York,Eden,Erie,42.650552,-78.878077
18330,NY,New York,Edmeston,Otsego,42.730281,-75.252522
18331,NY,New York,Edwards,Saint Lawrence,44.311048,-75.252226
18332,NY,New York,Elba,Genesee,43.089739,-78.170383
18333,NY,New York,Elbridge,Onondaga,43.025246,-76.435164
18334,NY,New York,Eldred,Sullivan,41.532793,-74.896769
18335,NY,New York,Elizabethtown,Essex,44.224518,-73.601131
18336,NY,New York,Elizaville,Columbia,42.090173,-73.781814
18337,NY,New York,Elka Park,Greene,42.164309,-74.124539
18338,NY,New York,Ellenburg,Clinton,44.893889,-73.836944
18339,NY,New York,Ellenburg Center,Clinton,44.844353,-73.868546
18340,NY,New York,Ellenburg Depot,Clinton,44.916266,-73.787572
18341,NY,New York,Ellenville,Ulster,41.721805,-74.414125
18342,NY,New York,Ellicottville,Cattaraugus,42.295873,-78.66064
18343,NY,New York,Ellington,Chautauqua,42.216667,-79.108056
18344,NY,New York,Ellisburg,Jefferson,43.737202,-76.125871
18345,NY,New York,Elma,Erie,42.834002,-78.634257
18346,NY,New York,Elmhurst,Queens,40.740388,-73.878551
18347,NY,New York,Elmira,Chemung,42.100769,-76.811977
18348,NY,New York,Elmont,Nassau,40.699615,-73.705751
18349,NY,New York,Elmsford,Westchester,41.057171,-73.813597
18350,NY,New York,Endicott,Broome,42.114089,-76.056927
18351,NY,New York,Endwell,Broome,42.112778,-76.021389
18352,NY,New York,Erieville,Madison,42.856166,-75.754255
18353,NY,New York,Erin,Chemung,42.185898,-76.681942
18354,NY,New York,Esopus,Ulster,41.827778,-73.965556
18355,NY,New York,Esperance,Montgomery,42.771677,-74.288246
18356,NY,New York,Essex,Essex,44.280695,-73.373147
18357,NY,New York,Etna,Tompkins,42.485,-76.383889
18358,NY,New York,Evans Mills,Jefferson,44.081668,-75.830516
18359,NY,New York,Fabius,Onondaga,42.853117,-75.983645
18360,NY,New York,Fair Haven,Cayuga,43.316389,-76.7025
18361,NY,New York,Fairport,Monroe,43.089198,-77.435956
18362,NY,New York,Falconer,Chautauqua,42.123915,-79.189499
18363,NY,New York,Fallsburg,Sullivan,41.7273,-74.615409
18364,NY,New York,Fancher,Orleans,43.244722,-78.091389
18365,NY,New York,Far Rockaway,Queens,40.599444,-73.764167
18366,NY,New York,Farmersville Station,Cattaraugus,42.44827,-78.291533
18367,NY,New York,Farmingdale,Nassau,40.725061,-73.445055
18368,NY,New York,Farmington,Ontario,42.959591,-77.341139
18369,NY,New York,Farmingville,Suffolk,40.836602,-73.04125
18370,NY,New York,Farnham,Erie,42.594444,-79.091389
18371,NY,New York,Fayette,Seneca,42.814167,-76.809444
18372,NY,New York,Fayetteville,Onondaga,43.026774,-76.014503
18373,NY,New York,Felts Mills,Jefferson,44.020374,-75.752443
18374,NY,New York,Ferndale,Sullivan,41.730029,-74.754873
18375,NY,New York,Feura Bush,Albany,42.554998,-73.923743
18376,NY,New York,Fillmore,Allegany,42.463605,-78.106232
18377,NY,New York,Findley Lake,Chautauqua,42.120401,-79.734908
18378,NY,New York,Fine,Saint Lawrence,44.247778,-75.138056
18379,NY,New York,Fishers,Ontario,43.008611,-77.465
18380,NY,New York,Fishers Island,Suffolk,41.263934,-72.017834
18381,NY,New York,Fishers Landing,Jefferson,44.276389,-76.008333
18382,NY,New York,Fishkill,Dutchess,41.540352,-73.89791
18383,NY,New York,Fishs Eddy,Delaware,41.963611,-75.175278
18384,NY,New York,Fleischmanns,Delaware,42.178765,-74.531908
18385,NY,New York,Floral Park,Nassau,40.723586,-73.70576
18386,NY,New York,Floral Park,Queens,40.7569,-73.712
18387,NY,New York,Florida,Orange,41.329507,-74.352805
18388,NY,New York,Flushing,Queens,40.7816,-73.8272
18389,NY,New York,Fly Creek,Otsego,42.725177,-74.986921
18390,NY,New York,Fonda,Montgomery,42.957078,-74.402129
18391,NY,New York,Forest Hills,Queens,40.722854,-73.847306
18392,NY,New York,Forestburgh,Sullivan,41.569093,-74.724087
18393,NY,New York,Forestport,Oneida,43.473651,-75.178742
18394,NY,New York,Forestville,Chautauqua,42.448229,-79.160743
